Rank,Rating,Title,Year
1, 99%,The Wizard of Oz ,1939
2, 100%,The Third Man ,1949
3, 100%,Citizen Kane ,1941
4, 97%,Mad Max: Fury Road ,2015
5, 100%,Das Cabinet des Dr. Caligari. (The Cabinet of Dr. Caligari) ,1920
6, 100%,All About Eve ,1950
7, 99%,The Godfather ,1972
8, 98%,Inside Out ,2015
9, 100%,Modern Times ,1936
10, 99%,Metropolis ,1927
11, 98%,E.T. The Extra-Terrestrial ,1982
12, 98%,It Happened One Night ,1934
13, 100%,Singin' in the Rain ,1952
14, 97%,Casablanca ,1942
15, 100%,Laura ,1944
16, 98%,Boyhood ,2014
17, 98%,A Hard Day's Night ,1964
18, 98%,Snow White and the Seven Dwarfs ,1937
19, 97%,Nosferat,Nosferat
20, 97%,La Grande illusion (Grand Illusion) ,1938
21, 100%,North by Northwest ,1959
22, 100%,Repulsion ,1965
23, 99%,The Battle of Algiers (La Battaglia di Algeri) ,1967
24, 96%,Gravity ,2013
25, 98%,King Kong ,1933
26, 100%,The Maltese Falcon ,1941
27, 100%,Rear Window ,1954
28, 100%,The Adventures of Robin Hood ,1938
29, 100%,RashĂ´mon ,1951
30, 96%,Psycho ,1960
31, 96%,12 Years a Slave ,2013
32, 99%,Toy Story 3 ,2010
33, 99%,Selma ,2015
34, 100%,Toy Story 2 ,1999
35, 98%,Sunset Boulevard ,1950
36, 100%,The Bride of Frankenstein ,1935
37, 100%,M ,1931
38, 100%,The Philadelphia Story ,1940
39, 96%,Argo ,2012
40, 96%,Spotlight ,2015
41, 99%,Taxi Driver ,1976
42, 100%,The Treasure of the Sierra Madre ,1948
43, 100%,The 400 Blows (Les Quatre cents coups) ,1959
44, 98%,Up ,2009
45, 97%,Alien ,1979
46, 100%,Seven Samurai (Shichinin no Samurai) ,1956
47, 98%,Bicycle Thieves (Ladri di biciclette) ,1949
48, 97%,Army of Shadows (L'ArmĂ©e des ombres) ,1969
49, 98%,A Streetcar Named Desire ,1951
50, 100%,12 Angry Men (Twelve Angry Men) ,1957
51, 98%,Zootopia ,2016
52, 99%,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb ,1964
53, 98%,The Night of the Hunter ,1955
54, 94%,Gone With the Wind ,1939
55, 100%,Rebecca ,1940
56, 100%,The Conformist ,1970
57, 100%,Frankenstein ,1931
58, 99%,Rosemary's Baby ,1968
59, 99%,Finding Nemo ,2003
60, 97%,Vertigo ,1958
61, 96%,Touch of Evil ,1958
62, 97%,The Goo,The Goo
63, 98%,The Wrestler ,2008
64, 99%,L.A. Confidential ,1997
65, 92%,Star Wars: Episode VII - The Force Awakens ,2015
66, 98%,The Hurt Locker ,2009
67, 98%,The 39 Steps ,1935
68, 94%,The Dark Knight ,2008
69, 98%,The Babadook ,2014
70, 93%,Skyfall ,2012
71, 100%,Open City ,1946
72, 98%,Hell or High Water ,2016
73, 100%,Tokyo Story (TĂ´kyĂ´ monogatari) ,1953
74, 97%,Brooklyn ,2015
75, 100%,The Last Picture Show ,1971
76, 95%,Star Trek ,2009
77, 100%,The Grapes of Wrath ,1940
78, 100%,Pinocchio ,1940
79, 100%,The Wages of Fear ,1953
80, 96%,High Noon ,1952
81, 98%,On the Waterfront ,1954
82, 98%,Roman Holiday ,1953
83, 96%,Harry Potter and the Deathly Hallows - Part 2 ,2011
84, 100%,Man on Wire ,2008
85, 100%,Toy Story ,1995
86, 97%,The Godfathe,The Godfathe
87, 97%,The Artist ,2011
88, 100%,Anatomy of a Murder ,1959
89, 97%,Jaws ,1975
90, 97%,Lawrence of Arabia ,1962
91, 100%,Battleship Potemkin ,1925
92, 100%,The Leopard ,1963
93, 98%,Chinatown ,1974
94, 97%,It Follows ,2015
95, 100%,Cool Hand Luke ,1967
96, 96%,WALL-E ,2008
97, 98%,Annie Hall ,1977
98, 95%,An American in Paris ,1951
99, 98%,All Quiet on the Western Front ,1930
100, 98%,The Lady Vanishes ,1938
